ingredient_name,name_fr,category,price_fr_eur_per_100g,source_fr,verdict_fr,package_size_fr,package_unit_fr,price_gb_gbp_per_100g,source_gb,package_size_gb,package_unit_gb,price_us_usd_per_100g,source_us,package_size_us,package_unit_us,price_ca_cad_per_100g,source_ca,package_size_ca,package_unit_ca,notes
African eggplant,Aubergine africaine,vegetable,0.599,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
African pea eggplant (Gnangnan),Petite aubergine africaine (gnangnan),vegetable,0.599,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Akpi,Akpi,spice,,NEEDS MANUAL ENTRY,,,,,,,,9.990,afroasia_us,100.0,g,,,,,
Apricot jam,Confiture d'assaisonnement,condiment,1.222,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Attiéké,Attiéké,starch,,NEEDS MANUAL ENTRY,,,,,,,,2.998,afroasia_us,500.0,g,,,,,
Bakers yeast,Levure de boulanger,other,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Baking powder,Levure chimique,other,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Baking soda,Bicarbonate de soude,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Banana leaves,Feuilles de bananier,other,,NEEDS MANUAL ENTRY,,,,,,,,66.075,afroasia_us,227.0,g,,,,,
Bay Leaf,Laurier,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Bay leaf,Feuille de laurier,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Beef,Bœuf,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Beef blood,Sang de bœuf,protein,2.198,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Beef stock cube,Bouillon de bœuf,condiment,1.106,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Berbere Spice,Berbere,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Berbere spice mix,Poudre de Berbéré,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Biltong (Dried meat),Viande séchée (Biltong),protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Bird's eye chili,Piment oiseau,spice,2.299,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Black pepper,Poivre noir,spice,2.357,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Black-eyed peas,Haricots niébé,legume,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Bread,Pain,starch,0.590,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Breadcrumbs,Chapelure,other,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Bredes leaves,Feuilles de brèdes,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Brick pastry leaf,Feuille de brick,starch,0.582,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Broken rice,Riz brisé,starch,0.202,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Butter,Beurre,dairy,0.978,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Canned tuna,Thon à l'huile,fish,1.306,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Captain fish,Poisson capitaine,fish,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cardamom,Cardamome,spice,7.286,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Carrot,Carotte,vegetable,0.193,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Cashew nuts,Noix de cajou,nut,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cassava,Manioc,starch,0.499,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Cassava Flour,Farine de manioc,starch,,NEEDS MANUAL ENTRY,,,,,,,,1.599,afroasia_us,1500.0,g,,,,,
Cassava flour,Farine de manioc,starch,,NEEDS MANUAL ENTRY,,,,,,,,1.599,afroasia_us,1500.0,g,,,,,
Celery,Céleri,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Chicken,Poulet,protein,1.190,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Chicken stock cube,Bouillon de poulet,condiment,1.112,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Chickpea flour,Farine de pois chiches,legume,1.496,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Chickpea powder Shiro,Pois chiches en poudre (Shiro),legume,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Chickpeas,Pois chiches,legume,0.283,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Chinese noodles,Nouilles chinoises,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Chopped cassava leaves,Feuilles de manioc hachées,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cinnamon,Cannelle,spice,2.257,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Clarified butter,Beurre clarifié (Niter Kibbeh),fat,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cloves,Clou de girofle,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cocoa Powder,Cacao en poudre,other,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Coconut milk,Lait de coco,liquid,0.625,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Cod,Cabillaud,,1.998,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Cod fish,Morue,fish,1.698,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Coriander,Coriandre,spice,0.990,carrefour_fr,PASS,1.0,unit,,,,,,,,,,,,,
Corn flour,Farine de maïs,starch,0.569,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Corn kernels,Maïs en grains,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Cornmeal,Farine de maïs,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Couscous,Couscous,starch,0.169,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Crab,Crabe,fish,2.636,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Creme fraiche,Crème fraîche,dairy,0.310,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Cumin,Cumin,spice,7.375,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Curdled milk,Lait caillé,dairy,0.170,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Curry powder,Curry en poudre,spice,1.310,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Dijon mustard,Moutarde de Dijon,condiment,0.458,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Dried chili,Piment sec,spice,1.832,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
