ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
African eggplant,Aubergine africaine,vegetable,CA,0.599,,CAD,,,
African eggplant,Aubergine africaine,vegetable,GB,0.599,,GBP,,,
African eggplant,Aubergine africaine,vegetable,US,0.599,,USD,,,
African pea eggplant (Gnangnan),Petite aubergine africaine (gnangnan),vegetable,CA,0.599,,CAD,,,
African pea eggplant (Gnangnan),Petite aubergine africaine (gnangnan),vegetable,GB,0.599,,GBP,,,
African pea eggplant (Gnangnan),Petite aubergine africaine (gnangnan),vegetable,US,0.599,,USD,,,
Akpi,Akpi,spice,CA,,,CAD,,,
Akpi,Akpi,spice,GB,,,GBP,,,
Akpi,Akpi,spice,US,,,USD,,,
Apricot jam,Confiture d'assaisonnement,condiment,CA,1.222,,CAD,,,
Apricot jam,Confiture d'assaisonnement,condiment,GB,1.222,,GBP,,,
Apricot jam,Confiture d'assaisonnement,condiment,US,1.222,,USD,,,
Attiéké,Attiéké,starch,CA,,,CAD,,,
Attiéké,Attiéké,starch,GB,,,GBP,,,
Attiéké,Attiéké,starch,US,,,USD,,,
Bakers yeast,Levure de boulanger,other,CA,,,CAD,,,
Bakers yeast,Levure de boulanger,other,GB,,,GBP,,,
Bakers yeast,Levure de boulanger,other,US,,,USD,,,
Baking powder,Levure chimique,other,CA,,,CAD,,,
Baking powder,Levure chimique,other,GB,,,GBP,,,
Baking powder,Levure chimique,other,US,,,USD,,,
Baking soda,Bicarbonate de soude,spice,CA,,,CAD,,,
Baking soda,Bicarbonate de soude,spice,GB,,,GBP,,,
Baking soda,Bicarbonate de soude,spice,US,,,USD,,,
Banana leaves,Feuilles de bananier,other,CA,,,CAD,,,
Banana leaves,Feuilles de bananier,other,GB,,,GBP,,,
Banana leaves,Feuilles de bananier,other,US,,,USD,,,
Bay Leaf,Laurier,spice,CA,,,CAD,,,
Bay Leaf,Laurier,spice,GB,,,GBP,,,
Bay Leaf,Laurier,spice,US,,,USD,,,
Bay leaf,Feuille de laurier,spice,CA,,,CAD,,,
Bay leaf,Feuille de laurier,spice,GB,,,GBP,,,
Bay leaf,Feuille de laurier,spice,US,,,USD,,,
Beef,Bœuf,protein,CA,,,CAD,,,
Beef,Bœuf,protein,GB,,,GBP,,,
Beef,Bœuf,protein,US,,,USD,,,
Beef blood,Sang de bœuf,protein,CA,2.198,,CAD,,,
Beef blood,Sang de bœuf,protein,GB,2.198,,GBP,,,
Beef blood,Sang de bœuf,protein,US,2.198,,USD,,,
Beef stock cube,Bouillon de bœuf,condiment,CA,1.106,,CAD,,,
Beef stock cube,Bouillon de bœuf,condiment,GB,1.106,,GBP,,,
Beef stock cube,Bouillon de bœuf,condiment,US,1.106,,USD,,,
Berbere Spice,Berbere,spice,CA,,,CAD,,,
Berbere Spice,Berbere,spice,GB,,,GBP,,,
Berbere Spice,Berbere,spice,US,,,USD,,,
Berbere spice mix,Poudre de Berbéré,spice,CA,,,CAD,,,
Berbere spice mix,Poudre de Berbéré,spice,GB,,,GBP,,,
Berbere spice mix,Poudre de Berbéré,spice,US,,,USD,,,
Biltong (Dried meat),Viande séchée (Biltong),protein,CA,,,CAD,,,
Biltong (Dried meat),Viande séchée (Biltong),protein,GB,,,GBP,,,
Biltong (Dried meat),Viande séchée (Biltong),protein,US,,,USD,,,
Bird's eye chili,Piment oiseau,spice,CA,2.299,,CAD,,,
Bird's eye chili,Piment oiseau,spice,GB,2.299,,GBP,,,
Bird's eye chili,Piment oiseau,spice,US,2.299,,USD,,,
Black pepper,Poivre noir,spice,CA,2.357,,CAD,,,
Black pepper,Poivre noir,spice,GB,2.357,,GBP,,,
Black pepper,Poivre noir,spice,US,2.357,,USD,,,
Black-eyed peas,Haricots niébé,legume,CA,,,CAD,,,
Black-eyed peas,Haricots niébé,legume,GB,,,GBP,,,
Black-eyed peas,Haricots niébé,legume,US,,,USD,,,
Bread,Pain,starch,CA,0.590,,CAD,,,
Bread,Pain,starch,GB,0.590,,GBP,,,
Bread,Pain,starch,US,0.590,,USD,,,
Breadcrumbs,Chapelure,other,CA,,,CAD,,,
Breadcrumbs,Chapelure,other,GB,,,GBP,,,
Breadcrumbs,Chapelure,other,US,,,USD,,,
Bredes leaves,Feuilles de brèdes,vegetable,CA,,,CAD,,,
Bredes leaves,Feuilles de brèdes,vegetable,GB,,,GBP,,,
Bredes leaves,Feuilles de brèdes,vegetable,US,,,USD,,,
Brick pastry leaf,Feuille de brick,starch,CA,0.582,,CAD,,,
Brick pastry leaf,Feuille de brick,starch,GB,0.582,,GBP,,,
Brick pastry leaf,Feuille de brick,starch,US,0.582,,USD,,,
Broken rice,Riz brisé,starch,CA,0.202,,CAD,,,
Broken rice,Riz brisé,starch,GB,0.202,,GBP,,,
Broken rice,Riz brisé,starch,US,0.202,,USD,,,
Butter,Beurre,dairy,CA,0.978,,CAD,,,
Butter,Beurre,dairy,GB,0.978,,GBP,,,
Butter,Beurre,dairy,US,0.978,,USD,,,
Canned tuna,Thon à l'huile,fish,CA,1.306,,CAD,,,
Canned tuna,Thon à l'huile,fish,GB,1.306,,GBP,,,
Canned tuna,Thon à l'huile,fish,US,1.306,,USD,,,
